location,district,area,bed,latitude,longitude,price,type
"1 An Tearmann, Palmerstown, Dublin 20",20,182 m²,4 Bed,53.3574079,-6.3714236,"€ 625,000",Detached
"1 Ardmore Avenue, North Circular Road, Dublin 7",7,124 m²,5 Bed,53.3515058,-6.2960043,"€ 430,000",End of Terrace
"1 Beaufort Downs, Rathfarnham, Dublin 14",14,116 m²,4 Bed,53.2947967,-6.2821518,"€ 595,000",Semi-D
"1 Beechwood House, Eaton Wood Square, Shankill, Dublin 18",18,null,2 Bed,53.2342977,-6.116319,"€ 315,000",Apartment
"1 Berwick House, Whitehall Road, Churchtown, Dublin 14",14,84 m²,3 Bed,53.2944655,-6.2697407,"€ 475,000",Semi-D
"1 Birchview Drive, Kilnamanagh, Dublin 24",24,104 m²,3 Bed,53.3001659,-6.3563517,"€ 395,000",Detached
"1 Brighton Green, Rathgar, Dublin 6",6,70 m²,2 Bed,53.3142904,-6.2815422,"€ 575,000",End of Terrace
"1 Brompton Lawn, Castleknock, Dublin 15",15,148 m²,4 Bed,53.3819042,-6.3822293,"€ 465,000",Semi-D
"1 Camden Buildings, Camden Street Lower, Dublin 2",2,74 m²,3 Bed,53.3348783,-6.2650163,"€ 475,000",Townhouse
"1 Castle Park, Tallaght, Dublin 24",24,73 m²,3 Bed,53.290063,-6.3447246,"€ 270,000",End of Terrace
"1 Castlefield Lawn, Knocklyon, Dublin 16",16,244 m²,6 Bed,53.2831501,-6.330373,"€ 769,950",Semi-D
"1 Cheltenham Place, Rathmines, Dublin 6",6,155 m²,3 Bed,53.329873,-6.2637997,"€ 795,000",Terrace
"1 Church Place, East Wall, Dublin 3",3,55 m²,2 Bed,53.3513037,-6.2349949,"€ 295,000",Bungalow
"1 Church Street East & 16a Abercorn Road, East Wall, Dublin 3",3,null,4 Bed,53.3508538,-6.235615,"€ 735,000",End of Terrace
"1 Colbert's Fort, James's Walk, Rialto, Dublin 8",8,60 m²,2 Bed,53.3382327,-6.2914777,"€ 345,000",End of Terrace
"1 Dartmouth Road Ranelagh Dublin 6, Ranelagh, Dublin 6",6,372 m²,4 Bed,53.3306664,-6.2532141,"€ 2,950,000",Semi-D
"1 Delaford Drive, Knocklyon, Dublin 16",16,168 m²,5 Bed,53.2831501,-6.330373,"€ 700,000",Detached
"1 Dodder View Cottages, Ballsbridge, Dublin 4",4,52 m²,2 Bed,53.330644,-6.2303587,"€ 450,000",End of Terrace
"1 Dromlee Crescent, Beaumont, Dublin 9",9,95 m²,3 Bed,53.3839695,-6.2327036,"€ 445,000",Semi-D
"1 Erne Terrace (Rear), Dublin 2",2,38 m²,1 Bed,53.3426815,-6.245115,"€ 325,000",Townhouse
"1 Fey Yerra, Leopardstown Road, Leopardstown, Dublin 18",18,83 m²,3 Bed,53.2753874,-6.191113,"€ 495,000",Semi-D
"1 Fortfield Road, Terenure Road North, Terenure, Dublin 6",6,135 m²,4 Bed,53.3064856,-6.3008039,"€ 595,000",Detached
"1 Foster Place North, Ballybough, Dublin 3",3,57 m²,2 Bed,53.3587655,-6.2457256,"€ 240,000",Terrace
"1 Georges Wharf, Phibsborough, D07X08Y , Dublin 7",7,60 m²,2 Bed,53.3581223,-6.272452,"€ 285,000",Apartment
"1 Glenwaverly Court, Park Avenue, Sandymount, Dublin 4",4,54 m²,2 Bed,53.331959,-6.2159912,"€ 345,000",Apartment
"1 Hansfield, Castaheany, Clonee, Dublin 15",15,108 m²,3 Bed,53.401484,-6.4258953,"€ 375,000",Semi-D
"1 Havelock Terrace, Sandymount, Dublin 4",4,85 m²,2 Bed,53.3368821,-6.2293415,"€ 625,000",End of Terrace
"1 Herbert Road, Blanchardstown, Dublin 15",15,103 m²,4 Bed,53.386574,-6.3780055,"€ 490,000",Detached
"1 Holly Park, Shankill, Dublin 18",18,149 m²,5 Bed,53.2343438,-6.1187294,"€ 600,000",Semi-D
